pdb_code,issue,value
2avi,high_pkd,15.221848749616356
1avd,high_pkd,15.0
1zsb,low_pkd,0.6020599913279624
1p0y,low_pkd,0.9965394678904936
1w8l,low_pkd,0.494850021680094
1wkm,low_pkd,0.8239087409443188
2b1r,low_pkd,0.9956786262173574
3fqa,low_pkd,0.494850021680094
3gww,low_pkd,0.4497716469449059
3k41,low_pkd,0.8239087409443188
2xui,high_pkd,15.0
2w97,low_pkd,0.958607314841775
2xuf,high_pkd,14.387216143280265
4eu3,low_pkd,0.8239087409443188
3zzf,low_pkd,0.3979400086720376
4obv,low_pkd,0.7495799976911061
6h9v,low_pkd,0.6575773191777937
1b05,large_pocket,2008.0
1b0h,large_pocket,2217.0
1b1h,large_pocket,2193.0
1b2h,large_pocket,2090.0
1b32,large_pocket,2121.0
1b3f,large_pocket,2081.0
1b3g,large_pocket,2064.0
1b3h,large_pocket,2152.0
1b40,large_pocket,2103.0
1b4h,large_pocket,2025.0
1b52,large_pocket,2040.0
1b58,large_pocket,2178.0
1b5i,large_pocket,2037.0
1b5j,large_pocket,2100.0
1b6h,large_pocket,2037.0
1b7h,large_pocket,2108.0
1b9j,large_pocket,2054.0
1br8,large_pocket,2919.0
1bxl,large_ligand,121.0
1czq,large_ligand,131.0
1dpu,large_ligand,128.0
1dva,large_ligand,151.0
1ej4,large_ligand,125.0
1em6,large_pocket,2197.0
1eoj,large_pocket,2223.0
1eoj,large_ligand,131.0
1eol,large_pocket,2289.0
1eol,large_ligand,134.0
1f3j,large_pocket,2280.0
1f3j,large_ligand,117.0
1f47,large_ligand,135.0
1fch,large_pocket,2224.0
1fm9,large_pocket,2090.0
1fo0,large_pocket,2617.0
1fzj,large_pocket,2077.0
1fzk,large_pocket,2045.0
1fzm,large_pocket,2084.0
1fzo,large_pocket,2048.0
1g1e,large_ligand,136.0
1g6r,large_pocket,2781.0
1g7p,large_pocket,2034.0
1gag,large_pocket,2037.0
1gag,large_ligand,126.0
1gsz,large_pocket,2038.0
1guw,large_ligand,128.0
1h37,large_pocket,2100.0
1h39,large_pocket,2158.0
1h3b,large_pocket,2072.0
1h3c,large_pocket,2091.0
1haa,large_ligand,122.0
1hc9,large_ligand,121.0
1i5h,large_ligand,122.0
1i5r,large_pocket,2381.0
1i8h,large_ligand,101.0
1idg,large_ligand,166.0
1iht,large_pocket,2114.0
1iht,large_ligand,103.0
1ilq,large_ligand,146.0
1inq,large_pocket,2043.0
1iwq,large_pocket,2229.0
1iwq,large_ligand,143.0
1j19,large_ligand,116.0
1j4p,large_ligand,111.0
1j7z,large_ligand,122.0
1j80,large_ligand,122.0
1j81,large_ligand,122.0
1jbd,large_ligand,132.0
1jeu,large_pocket,2003.0
1jev,large_pocket,2253.0
1jm4,large_ligand,103.0
1juf,large_pocket,2072.0
1jwm,large_pocket,2594.0
1jwm,large_ligand,106.0
1jws,large_pocket,2499.0
1jws,large_ligand,106.0
1jwu,large_pocket,2683.0
1jwu,large_ligand,106.0
1jyc,large_ligand,122.0
1k3n,large_ligand,111.0
1k3q,large_ligand,103.0
1ka7,large_ligand,101.0
1kat,large_ligand,163.0
1klg,large_pocket,2294.0
1klg,large_ligand,104.0
1klu,large_pocket,2395.0
1klu,large_ligand,103.0
1l0a,large_ligand,143.0
1lcj,large_ligand,103.0
1lee,large_pocket,2025.0
1leg,large_pocket,2019.0
1lek,large_pocket,2014.0
1lrt,large_pocket,2018.0
1lxh,large_ligand,166.0
1mpa,large_ligand,102.0
1mq1,large_ligand,104.0
1mv0,large_ligand,104.0
1mwn,large_ligand,104.0
1mxl,large_ligand,124.0
1n4m,large_ligand,143.0
1o1s,large_pocket,2076.0
1o6h,large_pocket,2104.0
1o6q,large_pocket,2020.0
1o6r,large_pocket,2078.0
1o79,large_pocket,2104.0
1o9k,large_ligand,149.0
1oj5,large_ligand,107.0
1opi,large_ligand,119.0
1oqp,large_ligand,177.0
1osg,large_ligand,110.0
1pmx,large_ligand,129.0
1pyw,large_pocket,2404.0
1qka,large_pocket,2218.0
1qkb,large_pocket,2031.0
1qm5,large_pocket,2256.0
1r17,large_pocket,2027.0
1r2b,large_ligand,142.0
1r5v,large_pocket,2077.0
1r5w,large_pocket,2658.0
1r5w,large_ligand,104.0
1rgj,large_ligand,122.0
1rjk,large_pocket,2009.0
1rne,large_pocket,2126.0
1s5q,large_ligand,136.0
1s9v,large_pocket,2052.0
1sfi,large_ligand,105.0
1shc,large_ligand,106.0
1sje,large_pocket,2237.0
1sje,large_ligand,108.0
1sjh,large_pocket,2230.0
1t08,large_pocket,2267.0
1t08,large_ligand,115.0
1t2v,large_ligand,108.0
1thr,large_ligand,111.0
1uti,large_ligand,127.0
1vyj,large_ligand,135.0
1w6j,large_pocket,2044.0
1x11,large_ligand,108.0
1x7q,large_pocket,2101.0
1xh3,large_pocket,2122.0
1xh3,large_ligand,103.0
1xn2,large_pocket,2205.0
1xn3,large_pocket,2282.0
1xn3,large_ligand,116.0
1xr8,large_pocket,2106.0
1xr9,large_pocket,2195.0
1xt3,large_ligand,105.0
1y3a,large_ligand,110.0
1ywh,large_pocket,2471.0
1ywh,large_ligand,116.0
1zgb,large_pocket,2102.0
1zhk,large_pocket,2186.0
1zhk,large_ligand,101.0
1zhl,large_pocket,2220.0
1zhl,large_ligand,101.0
1zkk,large_pocket,2091.0
2auc,large_ligand,115.0
2bba,large_ligand,115.0
2br8,large_ligand,114.0
2clv,large_pocket,2100.0
2df6,large_ligand,145.0
2e7l,large_pocket,2725.0
2e95,large_pocket,2005.0
2emt,large_ligand,132.0
2euk,large_pocket,2026.0
2f3r,large_pocket,2102.0
2fci,large_ligand,118.0
2flu,large_ligand,128.0
2fo4,large_pocket,2023.0
2fts,large_ligand,105.0
2fuu,large_ligand,112.0
2fx7,large_ligand,157.0
2fx8,large_ligand,115.0
2fx9,large_ligand,138.0
2gph,large_ligand,128.0
2h2d,large_ligand,111.0
2hug,large_ligand,106.0
2i4j,large_pocket,2179.0
2i4p,large_pocket,2031.0
2i4z,large_pocket,2075.0
2igx,large_pocket,2221.0
2ivz,large_ligand,110.0
2jb6,large_pocket,2306.0
2jbv,large_pocket,2698.0
2jq9,large_ligand,108.0
2jqk,large_ligand,113.0
2k00,large_ligand,129.0
2k7l,large_ligand,167.0
2kbr,large_ligand,157.0
2kff,large_ligand,101.0
2kfg,large_ligand,101.0
2knh,large_ligand,139.0
2koh,large_ligand,127.0
2krd,large_ligand,124.0
2ksp,large_ligand,131.0
2kup,large_ligand,166.0
2kvm,large_ligand,121.0
2kwn,large_ligand,118.0
2kzu,large_ligand,152.0
2l11,large_ligand,112.0
2l12,large_ligand,112.0
2l1b,large_ligand,106.0
2l6e,large_ligand,124.0
2l8j,large_ligand,128.0
2las,large_ligand,114.0
2lbm,large_ligand,112.0
2lcs,large_ligand,116.0
2lct,large_ligand,115.0
2lgf,large_ligand,130.0
2ll7,large_ligand,129.0
2llo,large_ligand,154.0
2llq,large_ligand,154.0
2lo6,large_ligand,111.0
2loz,large_ligand,110.0
2lp8,large_ligand,147.0
2lsk,large_ligand,129.0
2lsp,large_ligand,116.0
2lsr,large_ligand,134.0
2lto,large_ligand,106.0
2ltw,large_ligand,112.0
2ltx,large_ligand,125.0
2lty,large_ligand,125.0
2ltz,large_ligand,125.0
2lyw,large_ligand,119.0
2m41,large_ligand,124.0
2mc1,large_ligand,111.0
2mg5,large_ligand,119.0
2mkr,large_ligand,116.0
2mpa,large_ligand,102.0
2mpm,large_ligand,134.0
2mps,large_ligand,127.0
2mwo,large_ligand,118.0
2mwp,large_ligand,104.0
2mwy,large_ligand,128.0
2n1g,large_ligand,122.0
2n3k,large_ligand,152.0
2n8t,large_ligand,110.0
2n9e,large_ligand,109.0
2n9x,large_ligand,146.0
2nd0,large_ligand,148.0
2nm1,large_ligand,149.0
2nwn,large_ligand,102.0
2nyr,large_pocket,2878.0
2oc2,large_pocket,2344.0
2oi9,large_pocket,2717.0
2olb,large_pocket,2145.0
2pl9,large_ligand,137.0
2pv2,large_ligand,116.0
2q80,large_pocket,2145.0
2qki,large_ligand,113.0
2r3c,large_ligand,117.0
2r5b,large_ligand,122.0
2r5d,large_ligand,125.0
2rnw,large_ligand,112.0
2rnx,large_ligand,105.0
2rny,large_ligand,126.0
2rqu,large_ligand,141.0
2rvn,large_ligand,142.0
2uxx,large_pocket,2660.0
2uz6,large_ligand,115.0
2vwf,large_ligand,116.0
2w16,large_pocket,2015.0
2w73,large_ligand,140.0
2w77,large_pocket,2060.0
2w85,large_ligand,107.0
2wuu,large_pocket,2050.0
2x2c,large_pocket,2152.0
2x4o,large_pocket,2028.0
2x4r,large_pocket,2018.0
2x4s,large_pocket,2097.0
2x4t,large_pocket,2044.0
2x4u,large_pocket,2067.0
2x6w,large_pocket,2054.0
2x6y,large_pocket,2062.0
2x85,large_pocket,2059.0
2x96,large_pocket,2188.0
2xaf,large_pocket,2754.0
2xag,large_pocket,2742.0
2xah,large_pocket,2689.0
2xaj,large_pocket,2725.0
2xaq,large_pocket,2791.0
2xas,large_pocket,2932.0
2xef,large_pocket,2487.0
2xeg,large_pocket,2353.0
2xei,large_pocket,2120.0
2xej,large_pocket,2162.0
2xs0,large_ligand,106.0
2xxn,large_ligand,107.0
2xy9,large_pocket,2383.0
2xyd,large_pocket,2387.0
2y3p,large_pocket,2226.0
2y6s,large_ligand,101.0
2y9q,large_ligand,137.0
2yim,large_pocket,2024.0
2yis,large_pocket,2083.0
2yiu,large_pocket,2190.0
2yiw,large_pocket,2010.0
2yq6,large_ligand,147.0
2z4w,large_pocket,2024.0
2z78,large_pocket,2183.0
2z7i,large_pocket,2128.0
2z97,large_pocket,2025.0
2zmj,large_pocket,2001.0
3a5y,large_pocket,2033.0
3abt,large_pocket,2703.0
3abu,large_pocket,2864.0
3agl,large_pocket,2078.0
3agm,large_pocket,2195.0
3ahn,large_pocket,2384.0
3aho,large_pocket,2209.0
3arb,large_pocket,2430.0
3ard,large_pocket,2851.0
3are,large_pocket,2768.0
3arf,large_pocket,2811.0
3arg,large_pocket,2640.0
3bgm,large_pocket,2074.0
3bh8,large_pocket,2082.0
3bh9,large_pocket,2007.0
3bhb,large_pocket,2048.0
3bi1,large_pocket,2020.0
3bim,large_ligand,126.0
3bkk,large_pocket,2062.0
3bkl,large_pocket,2133.0
3bl2,large_ligand,155.0
3btr,large_ligand,109.0
3bu6,large_pocket,2088.0
3bu6,large_ligand,121.0
3bu8,large_pocket,2046.0
3bu8,large_ligand,122.0
3bv2,large_pocket,2064.0
3bze,large_pocket,2170.0
3bzf,large_pocket,2134.0
3c3o,large_ligand,107.0
3c3q,large_ligand,149.0
3c3r,large_ligand,104.0
3cfs,large_ligand,119.0
3cfv,large_ligand,143.0
3cii,large_pocket,2752.0
3cyu,large_ligand,103.0
3d1f,large_ligand,108.0
3d32,large_ligand,107.0
3dab,large_ligand,103.0
3drf,large_pocket,2508.0
3drg,large_pocket,2850.0
3ds0,large_ligand,103.0
3ds3,large_ligand,103.0
3ds4,large_ligand,103.0
3dxj,large_pocket,2051.0
3e1r,large_ligand,103.0
3e37,large_pocket,2005.0
3e9h,large_pocket,2069.0
3e9i,large_pocket,2064.0
3eqy,large_ligand,102.0
3ery,large_pocket,2033.0
3eu7,large_ligand,109.0
3f5j,large_pocket,2036.0
3f5k,large_pocket,2103.0
3f6e,large_pocket,2079.0
3fdm,large_ligand,122.0
3fsj,large_pocket,2064.0
3ft2,large_pocket,2020.0
3g08,large_pocket,2030.0
3g5v,large_ligand,122.0
3g5y,large_ligand,122.0
3g8e,large_pocket,2194.0
3ggw,large_ligand,106.0
3ghe,large_ligand,124.0
3gxz,large_ligand,117.0
3gz9,large_pocket,2104.0
3h1z,large_ligand,136.0
3h52,large_ligand,107.0
3hg1,large_pocket,2786.0
3hio,large_ligand,106.0
3hiw,large_ligand,106.0
3hs8,large_ligand,102.0
3hxe,large_pocket,2306.0
3hxf,large_pocket,2169.0
3ig6,large_pocket,2078.0
3ihz,large_pocket,2013.0
3ilq,large_pocket,2321.0
3ipb,large_pocket,2414.0
3ipe,large_pocket,2238.0
3isw,large_ligand,143.0
3iux,large_ligand,153.0
3iwy,large_ligand,109.0
3jzo,large_ligand,107.0
3jzp,large_ligand,109.0
3jzq,large_ligand,112.0
3jzr,large_ligand,109.0
3jzs,large_ligand,112.0
3k23,large_pocket,2097.0
3k48,large_ligand,142.0
3k84,large_pocket,2187.0
3kl8,large_ligand,141.0
3ktr,large_ligand,131.0
3l3n,large_pocket,2036.0
3l3z,large_ligand,104.0
3l6f,large_pocket,2223.0
3l6f,large_ligand,116.0
3l6x,large_ligand,142.0
3lkj,large_pocket,2167.0
3lnj,large_ligand,101.0
3loo,large_pocket,2107.0
3lrh,large_ligand,118.0
3m17,large_ligand,109.0
3mlb,large_pocket,2488.0
3n5e,large_pocket,2051.0
3nan,large_pocket,2146.0
3nfk,large_ligand,104.0
3npc,large_pocket,2045.0
3o0e,large_pocket,2058.0
3o4k,large_pocket,2186.0
3o4l,large_pocket,2704.0
3o6l,large_ligand,122.0
3oe0,large_pocket,2227.0
3oe0,large_ligand,150.0
3oj8,large_pocket,2029.0
3ole,large_pocket,2012.0
3oli,large_pocket,2010.0
3otx,large_pocket,2211.0
3own,large_pocket,2075.0
3p9l,large_pocket,2037.0
3p9m,large_pocket,2054.0
3pdh,large_ligand,112.0
3peq,large_pocket,2017.0
3plu,large_ligand,134.0
3pqz,large_ligand,101.0
3pz3,large_pocket,2107.0
3q6s,large_ligand,131.0
3qn7,large_ligand,127.0
3qo2,large_ligand,106.0
3qxd,large_pocket,2170.0
3qxd,large_ligand,109.0
3rbm,large_pocket,2181.0
3rbq,large_pocket,2218.0
3rg2,large_pocket,2400.0
3rt4,large_pocket,2243.0
3rtx,large_ligand,112.0
3rul,large_ligand,128.0
3rum,large_ligand,147.0
3run,large_ligand,101.0
3rwc,large_pocket,2321.0
3rwd,large_pocket,2312.0
3rwd,large_ligand,106.0
3rwe,large_pocket,2212.0
3rwf,large_pocket,2142.0
3rwg,large_pocket,2274.0
3rwh,large_pocket,2237.0
3rwi,large_pocket,2326.0
3rwj,large_pocket,2142.0
3ryw,large_pocket,2069.0
3rz9,large_pocket,2016.0
3so6,large_ligand,108.0
3t6b,large_pocket,2176.0
3t6j,large_pocket,2140.0
3t8v,large_pocket,2097.0
3tdu,large_ligand,134.0
3tfk,large_pocket,2551.0
3tg5,large_pocket,2713.0
3tiw,large_ligand,149.0
3tjh,large_pocket,2801.0
3tpu,large_pocket,2737.0
3tpx,large_ligand,105.0
3twr,large_ligand,104.0
3tws,large_ligand,109.0
3u4r,large_pocket,2006.0
3uat,large_ligand,126.0
3ubx,large_pocket,2783.0
3ui2,large_ligand,105.0
3uqr,large_pocket,2041.0
3uvu,large_pocket,3041.0
3uvu,large_ligand,147.0
